flags,utterance,category,intent,intent_encoded,category_encoded
BMP,I would like to know more about user account deletions,ACCOUNT,delete_account,11,0
BLQ,need to file a customer claim against ur organization,FEEDBACK,complaint,7,4
BI,how to change the last order I have made?,ORDER,change_order,1,7
BIP,could you help me editing my account?,ACCOUNT,edit_account,14,0
BIMP,where could I buy some of your item?,ORDER,place_order,19,7
B,assistance to buy something,ORDER,place_order,19,7
B,I try to create an account,ACCOUNT,create_account,10,0
BLQ,need help to recover the PIN of my account,ACCOUNT,recover_password,20,0
B,I want assistance to edit my personal information,ACCOUNT,edit_account,14,0
B,assistance cancelling an order,ORDER,cancel_order,0,7
BI,where can I make an order?,ORDER,place_order,19,7
BMP,I would like to check what delivery options are available,DELIVERY,delivery_options,12,3
BM,I need help checking what options for delivery I can choose,DELIVERY,delivery_options,12,3
BI,where to leave a review for your company?,FEEDBACK,review,22,4
B,help to get a refund,REFUND,get_refund,16,9
BLQ,need to list ur available payment methods,PAYMENT,check_payment_methods,5,8
BEM,I do not know what I have to do to buy several of your item,ORDER,place_order,19,7
B,check the status of my order,ORDER,track_order,25,7
B,help me contacting an agent,CONTACT,contact_human_agent,9,2
BP,I don't know how I could check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee,3,1
BM,I don't know how to get refunds,REFUND,get_refund,16,9
BQZ,need help subscribing to your company nmewsletter,NEWSLETTER,newsletter_subscription,17,6
BI,is it possible to get the invoice?,INVOICE,get_invoice,15,5
BIP,would you give me information about delivery period?,DELIVERY,delivery_period,13,3
BIM,is it possible to report registration issues?,ACCOUNT,registration_problems,21,0
BILQ,how can i get information about the password reset,ACCOUNT,recover_password,20,0
BIP,could you help me to set up a different shipping address?,SHIPPING_ADDRESS,set_up_shipping_address,23,10
BM,I can't add some items to an order,ORDER,change_order,1,7
BIL,can I make a consumer reclamation against your organization?,FEEDBACK,complaint,7,4
BM,help me find the invoices from April,INVOICE,check_invoice,4,5
BE,I do not know what to do to make a purchase,ORDER,place_order,19,7
BIL,can you give me information about my PIN reset?,ACCOUNT,recover_password,20,0
B,I need assistance to check when my item is going to arrive,DELIVERY,delivery_period,13,3
BILQ,where to make a claim,FEEDBACK,complaint,7,4
BM,problem with forgotten passwords,ACCOUNT,recover_password,20,0
B,I try to switch to another account,ACCOUNT,switch_account,24,0
BIP,how could I track the last order?,ORDER,track_order,25,7
BI,is it possible to check when my delivery is going to arrive?,DELIVERY,delivery_period,13,3
B,help me checking the status of my refund,REFUND,track_refund,26,9
BIL,how can I see your payment methods?,PAYMENT,check_payment_methods,5,8
BM,problems with changing my last order,ORDER,change_order,1,7
BLZ,assistance cancelling the subscription tl the newsletter,NEWSLETTER,newsletter_subscription,17,6
BM,help to buy some items,ORDER,place_order,19,7
BIL,what do I need to do to create another online account?,ACCOUNT,create_account,10,0
BL,I need help to chat with someone,CONTACT,contact_human_agent,9,2
BILM,what do I have to do to change some of my personal details?,ACCOUNT,edit_account,14,0
BIP,how could I check when my delivery is going to arrive?,DELIVERY,delivery_period,13,3
BIMP,how could I report registration issues?,ACCOUNT,registration_problems,21,0
BP,I don't know how I could check my refund status,REFUND,track_refund,26,9
B,check if there is anything new on my refund,REFUND,track_refund,26,9
BM,issues setting a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address,23,10
B,help me to check the status of my refund,REFUND,track_refund,26,9
BI,can you help me deleting an account?,ACCOUNT,delete_account,11,0
